brand;name;carbohydraths;sodium;water
226ERS;High Energy Gel Lemon (76 g);50;40;0.0
226ERS;High Energy Gel Salty Strawberry (76 g);50;250;0.0
226ERS;High Energy Gel XS Lemon (45 g);30;24;0.0
226ERS;High Fructose Gel Strawberry (80 g);55;250;0.0
226ERS;Isotonic Gel Lime (68 g);22;12;0.0
Mynstry;Mynstry Gel 40;40;0;0
Näak;Boost Drink Mix 60 Neutral;60;250;0.5
Näak;Boost Drink Mix 60 Salted Cucumber;60;500;0.5
Näak;Ultra Drink Mix Peach Apricot;57;400;0.5
Näak;Ultra Drink Mix Pineapple Ginseng;57;400;0.5
Näak;Ultra Drink Mix Salted Soup;55;850;0.5
Näak;Ultra Drink Mix Watermelon;57;400;0.5
Scratch;Scratch 70;70;0;0.5
SUNN.;High Carb Drink Mix;72;300;0.5
SUNN.;Ultra High Carb Drink Mix;72;300;0.5
SUNN.;Ultra High Carb PRO Drink Mix;74;360;0.4
Generic;Water;0;0;0.5
PowerBar;Fuel Gel 30 Lemon;30;202;0.0
PowerBar;Hydro Gel;25;213;0.0
PowerBar;Original Gel;26;205;0.0
PowerBar;PowerGel;27;140;0.0
